species_grp,order,family,species_code,common_name,scientific_name,count_2021,count_2020,count_5yr,cons_status,cons_score,cons_desc,diff,abs_diff,perc_diff,peak_month,native,description,image_url,website
birds,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",amegfi,American goldfinch,Spinus tristis,22082,15644,84340,Least Concern,0.5499999999999999,Notable increase in sightings from 2020-2021. Very high populations reported in last 5 years.,Positive,6438,0.4115315776016364,February,Native,"The American goldfinch (Spinus tristis) is a small North American bird in the finch family. It is migratory, ranging from mid-Alberta to North Carolina during the breeding season, and from just south of the Canada–United States border to Mexico during the winter.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Male_American_Goldfinch_in_Lodi_CA.JPG/220px-Male_American_Goldfinch_in_Lodi_CA.JPG,https://en.wikipedia.org/wiki/American_goldfinch
birds,Piciformes,Picidae: Woodpeckers,rebwoo,Red-bellied woodpecker,Melanerpes carolinus,4351,4972,19952,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-621,-0.1248994368463395,January,Native,"The red-bellied woodpecker (Melanerpes carolinus) is a medium-sized woodpecker of the family Picidae. It breeds mainly in the eastern United States, ranging as far south as Florida and as far north as Canada. Though it has a vivid orange-red crown and nape it is not to be confused with the red-headed woodpecker, a separate species of woodpecker in the same genus with an entirely red head and neck that sports a solid black back and white belly.  The red-bellied earns its name from the pale reddish blush of its lower underside.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Red-bellied_Woodpecker-27527.jpg/220px-Red-bellied_Woodpecker-27527.jpg,https://en.wikipedia.org/wiki/Red-bellied_woodpecker
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,whtspa,White-throated sparrow,Zonotrichia albicollis,11450,13472,57508,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-2022,-0.15008907363420426,January,Native,The white-throated sparrow (Zonotrichia albicollis) is a passerine bird of the New World sparrow family Passerellidae.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Zonotrichia_albicollis_CT1.jpg/220px-Zonotrichia_albicollis_CT1.jpg,https://en.wikipedia.org/wiki/White-throated_sparrow
birds,Piciformes,Picidae: Woodpeckers,norfli,Northern flicker,Colaptes auratus,693,1145,3633,Least Concern,0.35000000000000003,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years.,Negative,-452,-0.3947598253275109,January,Native,"The northern flicker (Colaptes auratus) or common flicker is a medium-sized bird of the woodpecker family. It is native to most of North America, parts of Central America, Cuba, and the Cayman Islands, and is one of the few woodpecker species that migrate. Over 100 common names for the northern flicker are known, including yellowhammer (not to be confused with the Eurasian yellowhammer), clape, gaffer woodpecker, harry-wicket[citation needed], heigh-ho, wake-up, walk-up, wick-up, yarrup, and gawker bird. Many of these names derive from attempts to imitate some of its calls.  It is the state bird of Alabama (known by its colloquial name ""Yellowhammer."")[2]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/NorthernFlicker-male.jpg/220px-NorthernFlicker-male.jpg,https://en.wikipedia.org/wiki/Northern_flicker
birds,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",bnhcow,Brown-headed cowbird,Molothrus ater,9045,11272,41968,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-2227,-0.197569198012775,January,Native,"The brown-headed cowbird was described by the French polymath Georges-Louis Leclerc, Comte de Buffon in 1775 in his Histoire Naturelle des Oiseaux from a specimen collected in the Carolinas.[3] The bird was also illustrated in a hand-colored plate engraved by François-Nicolas Martinet in the Planches Enluminées D'Histoire Naturelle, which was produced under the supervision of Edme-Louis Daubenton to accompany Buffon's text.[4] Neither the plate caption nor Buffon's description included a scientific name, but in 1783, Dutch naturalist Pieter Boddaert coined the binomial name Oriolus ater in his catalogue of the Planches Enluminées.[5] The brown-headed cowbird is now placed in the genus Molothrus that was introduced by  English naturalist William John Swainson in 1832 with the brown-headed cowbird as the type species.[6][7] The genus name combines the Ancient Greek mōlos meaning ""struggle"" or ""battle"" with thrōskō meaning ""to sire"" or ""to impregnate"". The specific name ater is Latin for ""dull black"".[8] The English name ""cowbird"", first recorded in 1839, refers to this species often being seen near cattle.[9]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Brown_headed_cowbird_female_in_JBWR_%2825487%29.jpg/220px-Brown_headed_cowbird_female_in_JBWR_%2825487%29.jpg,https://en.wikipedia.org/wiki/Brown-headed_cowbird
birds,Passeriformes,Turdidae: Thrushes,amerob,American robin,Turdus migratorius,5711,8846,31780,Least Concern,0.26666666666666666,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-3135,-0.3543974677820484,February,Native,"The American robin (Turdus migratorius) is a migratory bird of the true thrush genus and Turdidae, the wider thrush family. It is named after the European robin[2] because of its reddish-orange breast, though the two species are not closely related, with the European robin belonging to the Old World flycatcher family. The American robin is widely distributed throughout North America, wintering from southern Canada to central Mexico and along the Pacific Coast. It is the state bird of Connecticut, Michigan, and Wisconsin.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Turdus-migratorius-002.jpg/220px-Turdus-migratorius-002.jpg,https://en.wikipedia.org/wiki/American_robin
birds,Passeriformes,Sturnidae: Starlings,eursta,Common starling,Sturnus vulgaris,10246,11221,47998,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-975,-0.08689065145708938,February,Native,"The common starling has about 12 subspecies breeding in open habitats across its native range in temperate Europe and across the Palearctic to western Mongolia, and it has been introduced to Australia, New Zealand, Canada, the United States, Mexico, Argentina, South Africa and Fiji.[2] This bird is resident in western and southern Europe and southwestern Asia, while northeastern populations migrate south and west in the winter within the breeding range and also further south to Iberia and North Africa. The common starling builds an untidy nest in a natural or artificial cavity in which four or five glossy, pale blue eggs are laid. These take two weeks to hatch and the young remain in the nest for another three weeks. There are normally one or two breeding attempts each year. This species is omnivorous, taking a wide range of invertebrates, as well as seeds and fruit. It is hunted by various mammals and birds of prey, and is host to a range of external and internal parasites.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg/220px-Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg,https://en.wikipedia.org/wiki/Common_starling
birds,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",purfin,Purple finch,Haemorhous purpureus,4854,2793,13936,Least Concern,0.7000000000000001,Significant increase in sightings from 2020-2021. Very high populations reported in last 5 years. Moderate increase in population in last 5 years.,Positive,2061,0.7379162191192267,January,Native,"The purple finch (Haemorhous purpureus) is a bird in the finch family, Fringillidae.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Carpodacus_purpureus_CT4.jpg/220px-Carpodacus_purpureus_CT4.jpg,https://en.wikipedia.org/wiki/Purple_finch
birds,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",rewbla,Red-winged blackbird,Agelaius phoeniceus,18422,21644,88871,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-3222,-0.1488634263537239,February,Native,"The red-winged blackbird (Agelaius phoeniceus) is a passerine bird of the family Icteridae found in most of North America and much of Central America. It breeds from Alaska and Newfoundland south to Florida, the Gulf of Mexico, Mexico, and Guatemala, with isolated populations in western El Salvador, northwestern Honduras, and northwestern Costa Rica. It may winter as far north as Pennsylvania and British Columbia, but northern populations are generally migratory, moving south to Mexico and the southern United States. Claims have been made that it is the most abundant living land bird in North America, as bird-counting censuses of wintering red-winged blackbirds sometimes show that loose flocks can number in excess of a million birds per flock and the full number of breeding pairs across North and Central America may exceed 250 million in peak years. It also ranks among the best-studied wild bird species in the world.[2][3][4][5][6] The red-winged blackbird is sexually dimorphic; the male is all black with a red shoulder and yellow wing bar, while the female is a nondescript dark brown. Seeds and insects make up the bulk of the red-winged blackbird's diet.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Agelaius_phoeniceus2.jpg/220px-Agelaius_phoeniceus2.jpg,https://en.wikipedia.org/wiki/Red-winged_blackbird
birds,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",brnthr,Brown thrasher,Toxostoma rufum,2440,2778,9645,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-338,-0.1216702663786897,March,Native,"The brown thrasher (Toxostoma rufum), sometimes erroneously called the brown thrush or fox-coloured thrush, is a bird in the family Mimidae, which also includes the New World catbirds and mockingbirds. The brown thrasher is abundant throughout the eastern and central United States and southern and central Canada, and it is the only thrasher to live primarily east of the Rockies and central Texas. It is the state bird of Georgia.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Brown_thrasher_in_CP_%2802147%29.jpg/220px-Brown_thrasher_in_CP_%2802147%29.jpg,https://en.wikipedia.org/wiki/Brown_thrasher
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,sonspa,Song sparrow,Melospiza melodia,1874,1640,8603,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Positive,234,0.14268292682926828,January,Native,"The song sparrow (Melospiza melodia) is a medium-sized New World sparrow. Among the native sparrows in North America, it is easily one of the most abundant, variable and adaptable species.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Song_sparrow_in_Prospect_Park_%2893031%29.jpg/220px-Song_sparrow_in_Prospect_Park_%2893031%29.jpg,https://en.wikipedia.org/wiki/Song_sparrow
birds,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",pinsis,Pine siskin,Spinus pinus,4618,2227,10760,Least Concern,0.8333333333333334,Significant increase in sightings from 2020-2021. Very high populations reported in last 5 years. Moderate increase in population in last 5 years.,Positive,2391,1.0736416704086216,February,Native,The pine siskin (Spinus pinus) is a North American bird in the finch family. It is a migratory bird with an extremely sporadic winter range.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carduelis_pinus_CT7.jpg/220px-Carduelis_pinus_CT7.jpg,https://en.wikipedia.org/wiki/Pine_siskin
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,whcspa,White-crowned sparrow,Zonotrichia leucophrys,151,353,1356,Least Concern,0.2,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-202,-0.5722379603399433,January,Native,"The white-crowned sparrow (Zonotrichia leucophrys) is a species of passerine bird native to North America. A medium-sized member of the New World sparrow family, this species is marked by a grey face and black and white streaking on the upper head. It breeds in brushy areas in the taiga and tundra of the northernmost parts of the continent and in the Rocky Mountains and Pacific coast. While southerly populations in the Rocky Mountains and coast are largely resident, the breeding populations of the northerly part of its range are migratory and can be found as wintering or passage visitors through most of North America south to central Mexico.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/White-crowned-Sparrow.jpg/220px-White-crowned-Sparrow.jpg,https://en.wikipedia.org/wiki/White-crowned_sparrow
birds,Passeriformes,Parulidae: Wood Warblers,yerwar,Yellow-rumped warbler,Setophaga coronata,7369,4705,27228,Least Concern,0.5499999999999999,Notable increase in sightings from 2020-2021. Very high populations reported in last 5 years.,Positive,2664,0.5662061636556854,March,Native,"The yellow-rumped warbler (Setophaga coronata) is a regular North American bird species that can be commonly observed all across the continent. Its extensive distribution range connects both the Pacific and Atlantic coasts of the U.S. as well as Canada and Central America, with the population concentrating in the continent's northern parts during the breeding season and migrating southwards to southern North and Central America in Winter. The species generally prefers coniferous forests or mixed coniferous-deciduous forests as its breeding habitat, while during the winter it can be found inhabiting more open areas such as shrublands that offer food resources. The diet of the yellow-rumped warbler is based primarily on insects, though the species does eat fruits such as juniper berries as well, especially in winter.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Audubon%27s_Warbler_Setophaga_auduboni.jpg/220px-Audubon%27s_Warbler_Setophaga_auduboni.jpg,https://en.wikipedia.org/wiki/Yellow-rumped_warbler
birds,Passeriformes,Tyrannidae: Tyrant Flycatchers,easpho,Eastern phoebe,Sayornis phoebe,45,54,166,Least Concern,0.35000000000000003,High populations reported in last 5 years.,Negative,-9,-0.16666666666666666,March,Native,"The eastern phoebe (Sayornis phoebe) is a small passerine bird. The genus name Sayornis is constructed from the specific part of Charles Lucien Bonaparte's name for Say's phoebe, Muscicapa saya, and Ancient Greek ornis, ""bird"".[2]Phoebe is an alternative name for the Roman moon-goddess Diana, but it may also have been chosen to imitate the bird's call.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg/220px-Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg,https://en.wikipedia.org/wiki/Eastern_phoebe
birds,Passeriformes,"Fringillidae: Siskins, Crossbills & Allies",houfin,House finch,Haemorhous mexicanus,13816,18029,70515,Least Concern,0.35000000000000003,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years.,Negative,-4213,-0.2336790726052471,January,Native,"The house finch (Haemorhous mexicanus) is a bird in the finch family Fringillidae. It is native to western North America and has been introduced to the eastern half of the continent and Hawaii. This species and the other ""American rosefinches"" are placed in the genus Haemorhous.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/House_Finch%2C_Stratham%2C_NH.jpg/220px-House_Finch%2C_Stratham%2C_NH.jpg,https://en.wikipedia.org/wiki/House_finch
birds,Passeriformes,"Icteridae: Blackbirds, Meadowlarks & Orioles",comgra,Common grackle,Quiscalus quiscula,14200,20402,108541,Near Threatened,0.26666666666666666,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-6202,-0.3039898049210862,January,Native,"The common grackle (Quiscalus quiscula) is a species of large icterid bird found in large numbers through much of North America. First described in 1758 by Carl Linnaeus, the common grackle has three subspecies. Adult common grackles have a long and dark bill, pale yellow eyes, and a long tail. Adults often have an iridescent appearance on their head, especially males. Common grackles can be found widely across North America east of the Rocky Mountains.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Quiscalus-quiscula-001.jpg/220px-Quiscalus-quiscula-001.jpg,https://en.wikipedia.org/wiki/Common_grackle
birds,Passeriformes,Turdidae: Thrushes,easblu,Eastern bluebird,Sialia sialis,8725,9721,39782,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-996,-0.1024585947947742,January,Native,"The eastern bluebird (Sialia sialis) is a small North American migratory thrush found in open woodlands, farmlands, and orchards.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg/220px-Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg,https://en.wikipedia.org/wiki/Eastern_bluebird
birds,Piciformes,Picidae (Woodpeckers),dowwoo,Downy woodpecker,Picoides pubescens,4719,5623,22841,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-904,-0.16076827316379158,January,Non Native,"The downy woodpecker was described and illustrated with a hand-coloured plate by the English naturalist Mark Catesby in his The Natural History of Carolina, Florida and the Bahama Islands, which was published between 1729 and 1732.[2] When in 1766 the Swedish naturalist Carl Linnaeus updated his Systema Naturae for the twelfth edition, he included the downy woodpecker, coined the binomial name Picus pubescens and cited Catesby's book.[3] The specific epithet pubescens is the Latin for ""pubescent"" or ""downy"".[4] Linnaeus specified the type locality as America septentrionali (North America) but the locality is now restricted to South Carolina.[5] The downy woodpecker was usually placed in either Dendrocopos or Picoides, but a molecular phylogenetic study published in 2015 found that these genera did not form monophyletic groups.[6] In the revised generic classification, the downy woodpecker was placed with four other species in the resurrected genus Dryobates, that had been erected in 1826 by the German naturalist Friedrich Boie with the downy woodpecker as the type species.[7][8] Within the genus, the downy woodpecker is sister to a clade containing Nuttall's woodpecker (Dryobates nuttalli) and the ladder-backed woodpecker (Dryobates scalaris).[9]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/FemaleDownyWoodpecker.jpg/220px-FemaleDownyWoodpecker.jpg,https://en.wikipedia.org/wiki/Downy_woodpecker
birds,Apodiformes,Trochilidae: Hummingbirds,bkchum,Black-chinned hummingbird,Archilochus alexandri,0,0,11,Least Concern,-0.1,Notable decrease in population in last 5 years.,Negative,0,0,April,Native,"The black-chinned hummingbird (Archilochus alexandri) is a small hummingbird occupying a broad range of habitats.[3] It is migratory, spending winter as far south as Mexico.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Archilochus-alexandri-002-edit.jpg/220px-Archilochus-alexandri-002-edit.jpg,https://en.wikipedia.org/wiki/Black-chinned_hummingbird
birds,Passeriformes,"Mimidae: Catbirds, Mockingbirds & Thrashers",normoc,Northern mockingbird,Mimus polyglottos,2256,2489,10106,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-233,-0.09361189232623544,March,Native,"The northern mockingbird is an omnivore, eating both insects and fruits. It is often found in open areas and forest edges but forages in grassy land. The northern mockingbird breeds in southeastern Canada, the United States, northern Mexico, the Bahamas, the Cayman Islands and the Greater Antilles. It is replaced further south by its closest living relative, the tropical mockingbird. The Socorro mockingbird, an endangered species, is also closely related, contrary to previous opinion. The northern mockingbird is listed as of least concern according to the International Union for Conservation of Nature (IUCN).",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Mockingbird_in_Bay_Ridge_%2885082%29.jpg/220px-Mockingbird_in_Bay_Ridge_%2885082%29.jpg,https://en.wikipedia.org/wiki/Northern_mockingbird
birds,Piciformes,Picidae (Woodpeckers),haiwoo,Hairy woodpecker,Picoides villosus,659,608,2738,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Positive,51,0.08388157894736842,January,Non Native,"The hairy woodpecker was described and illustrated with a hand-coloured plate by the English naturalist Mark Catesby in his The Natural History of Carolina, Florida and the Bahama Islands which was published between 1729 and 1732.[5] When in 1766 the Swedish naturalist Carl Linnaeus updated his Systema Naturae for the twelfth edition, he included the downy woodpecker, coined the binomial name Picus villosus and cited Catesby's book.[6] The specific epithet villosus is the Latin word for ""hairy"".[7] Linnaeus specified the type locality as America septentrionali (North America), with specific mention of Raccoon, New Jersey.[8] The hairy woodpecker was formerly usually placed in either Dendrocopos or Picoides but a molecular phylogenetic study published in 2015 found that these genera did not form monophyletic groups.[9] In the revised generic classification, the hairy woodpecker was moved to the genus Leuconotopicus that was erected by the French ornithologist Alfred Malherbe in 1845.[10][11] Some taxonomic authorities place the hairy woodpecker in an expanded Dryobates that includes all the species in the genera Leuconotopicus and Veniliornis.[12][13]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Picoides_villosus_monticola_male1.jpg/220px-Picoides_villosus_monticola_male1.jpg,https://en.wikipedia.org/wiki/Hairy_woodpecker
birds,Passeriformes,Sittidae: Nuthatches,bnhnut,Brown-headed nuthatch,Sitta pusilla,767,804,3369,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-37,-0.04601990049751243,January,Native,"The brown-headed nuthatch (Sitta pusilla) is a small songbird found endemic to pine forests throughout the Southeastern United States. Genetic analyses indicated low differentiation between northern and southern populations in Florida, but the study also found  lower genetic diversity among south Florida populations that may be a result of the increased habitat fragmentation that was documented. The Bahama nuthatch was formerly considered a subspecies (S. p. insularis), has since been reclassified as its own separate species.[2][3] Two recent studies assessing vocalizations in Bahama and continental nuthatch populations found important differences.[4][5]  One of the studies[4] also demonstrated that  continental and Bahama populations did not respond aggressively to calls of the other population. This type of call-response study is often used to help define cryptic species.[6]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Brown-headed_Nuthatch-27527-4c.jpg/220px-Brown-headed_Nuthatch-27527-4c.jpg,https://en.wikipedia.org/wiki/Brown-headed_nuthatch
